word,answer
Apple,蘋果
Banana,香蕉
Cat,貓
Dog,狗
Elephant,大象
Fish,魚
Goat,山羊
Horse,馬
Ice cream,冰淇淋
Juice,果汁
Kite,風箏
Lion,獅子
Monkey,猴子
Nose,鼻子
Orange,柳橙
Pig,豬
Queen,皇后
Rabbit,兔子
Snake,蛇
Tiger,老虎
Umbrella,雨傘
Violin,小提琴
Watch,手錶
X-ray,X光
Yoyo,溜溜球
Zebra,斑馬
Ant,螞蟻
Bear,熊
Bird,鳥
Book,書
Bag,書包
Class,班級
Desk,書桌
Eraser,橡皮擦
Pen,原子筆
Pencil,鉛筆
Ruler,尺
School,學校
Student,學生
Teacher,老師
Friend,朋友
Happy,快樂的
Sad,難過的
Hot,熱的
Cold,冷的
Run,跑
Walk,走
Eat,吃
Drink,喝
Head,頭
Hand,手
Leg,腿
Eye,眼睛
Mouth,嘴巴
Morning,早上
Afternoon,下午
Evening,晚上
Night,夜晚
Hello,哈囉
Goodbye,再見
